epoch,loss,policy_loss,value_loss,policy_categorical_accuracy,value_mae
1,6.0443549156188965,5.891119003295898,0.11947460472583771,0.003220000071451068,0.2892763316631317
2,6.025486469268799,5.885073184967041,0.11695340275764465,0.003100000089034438,0.28431862592697144
3,6.016019821166992,5.880906581878662,0.11668205261230469,0.003640000009909272,0.2835520803928375
4,5.961723804473877,5.827139854431152,0.11725768446922302,0.00419999985024333,0.2849421203136444
5,5.880253791809082,5.744716167449951,0.1169949471950531,0.005419999826699495,0.28458499908447266
6,5.169240474700928,5.029225826263428,0.11742309480905533,0.03805999830365181,0.2852102518081665
7,4.919613838195801,4.774287223815918,0.11737839132547379,0.05601999908685684,0.28538694977760315
8,4.756412982940674,4.608802318572998,0.11729281395673752,0.08135999739170074,0.28479933738708496
9,4.476152420043945,4.324402332305908,0.1166800707578659,0.1731400042772293,0.2836456596851349
10,4.197415351867676,4.038424015045166,0.11673963069915771,0.24869999289512634,0.2840536832809448
11,4.062323093414307,3.9013428688049316,0.11804913729429245,0.2722199857234955,0.2862517833709717
12,3.971129894256592,3.8072447776794434,0.11735804378986359,0.28407999873161316,0.2848736643791199
13,3.916628837585449,3.7501208782196045,0.11684440821409225,0.29416000843048096,0.28465431928634644
14,3.8755085468292236,3.7082271575927734,0.11691223084926605,0.29528000950813293,0.2842218279838562
15,3.856067419052124,3.687565326690674,0.11654993891716003,0.299780011177063,0.2840782105922699
16,3.8376128673553467,3.6659176349639893,0.117216557264328,0.3006399869918823,0.28497838973999023
17,3.775585651397705,3.6017584800720215,0.11781486123800278,0.30831998586654663,0.28581467270851135
18,3.7673580646514893,3.5926353931427,0.11743704974651337,0.3099200129508972,0.28525441884994507
19,3.7538559436798096,3.5767438411712646,0.11804825812578201,0.31314000487327576,0.2862650156021118
20,3.7397663593292236,3.5642101764678955,0.11690221726894379,0.31018000841140747,0.28444141149520874
21,3.7327194213867188,3.5530731678009033,0.1181175485253334,0.31294000148773193,0.28663328289985657
22,3.7022149562835693,3.5252037048339844,0.11710663884878159,0.3185200095176697,0.2848919928073883
23,3.7174861431121826,3.5383076667785645,0.11635486781597137,0.3137800097465515,0.28382229804992676
24,3.6831512451171875,3.5027523040771484,0.11746591329574585,0.320279985666275,0.28483274579048157
25,3.6841349601745605,3.501857280731201,0.11769432574510574,0.32350000739097595,0.28566592931747437
26,3.670896291732788,3.489342451095581,0.11750635504722595,0.3235799968242645,0.28546813130378723
27,3.6615636348724365,3.477426052093506,0.11693163216114044,0.3215999901294708,0.2844766676425934
28,3.6656079292297363,3.4813947677612305,0.11725133657455444,0.3209800124168396,0.2847907543182373
29,3.6545047760009766,3.467747211456299,0.11735277622938156,0.326339989900589,0.28523096442222595
30,3.652475118637085,3.4666342735290527,0.11754734814167023,0.3240000009536743,0.2850891649723053
31,3.6440927982330322,3.4566256999969482,0.11729112267494202,0.3257800042629242,0.28471800684928894
32,3.6368441581726074,3.4499213695526123,0.1174197569489479,0.3276599943637848,0.285163015127182
33,3.631322145462036,3.4433748722076416,0.11743037402629852,0.3277600109577179,0.2854062020778656
34,3.635497570037842,3.4462950229644775,0.11733337491750717,0.3303000032901764,0.28488171100616455
35,3.6427886486053467,3.4518520832061768,0.11760632693767548,0.3235599994659424,0.2856084704399109
36,3.6132149696350098,3.420712947845459,0.11848846822977066,0.32905998826026917,0.2873128056526184
37,3.6162500381469727,3.4247090816497803,0.11758267134428024,0.3273400068283081,0.2853693962097168
38,3.6005218029022217,3.40987229347229,0.11728944629430771,0.32938000559806824,0.28540757298469543
39,3.6221394538879395,3.429948568344116,0.11733866482973099,0.3274399936199188,0.28523778915405273
40,3.6149799823760986,3.4234843254089355,0.11721833050251007,0.3267599940299988,0.28495949506759644
41,3.6123862266540527,3.4202544689178467,0.1176898404955864,0.33000001311302185,0.285540908575058
42,3.618230104446411,3.4241631031036377,0.11725693196058273,0.32886001467704773,0.28455039858818054
