epoch,loss,policy_loss,value_loss,policy_categorical_accuracy,value_mae
1,6.0557990074157715,5.888792514801025,0.12045270204544067,0.002400000113993883,0.29368627071380615
2,6.04157018661499,5.887391090393066,0.1182054728269577,0.00279999990016222,0.28714126348495483
3,6.032375812530518,5.885527610778809,0.11865031719207764,0.003100000089034438,0.2885436415672302
4,6.026117324829102,5.884888172149658,0.11981324106454849,0.0027000000700354576,0.29019057750701904
5,6.016480922698975,5.879951477050781,0.11624903976917267,0.0027000000700354576,0.2865647077560425
6,6.007169723510742,5.876704692840576,0.1152893528342247,0.0034000000450760126,0.28096094727516174
7,5.990747451782227,5.857033729553223,0.11732301861047745,0.0031999999191612005,0.2843739688396454
8,5.972164630889893,5.842923164367676,0.11689195781946182,0.003000000026077032,0.28293460607528687
9,5.954421043395996,5.8231048583984375,0.11694570630788803,0.0024999999441206455,0.28407981991767883
10,5.941486358642578,5.8123297691345215,0.11569450050592422,0.004999999888241291,0.28227996826171875
11,5.93917989730835,5.806752681732178,0.11834286153316498,0.004100000020116568,0.28800949454307556
12,5.93543004989624,5.805164337158203,0.1168285608291626,0.004100000020116568,0.2848384976387024
13,5.9270830154418945,5.79644250869751,0.11601731926202774,0.00559999980032444,0.2830122709274292
14,5.925414085388184,5.795463562011719,0.11488763242959976,0.004699999932199717,0.2812498211860657
15,5.921084880828857,5.789179801940918,0.11755017936229706,0.0044999998062849045,0.28450244665145874
16,5.929107666015625,5.798098087310791,0.11568548530340195,0.005100000184029341,0.2815147340297699
17,5.926293849945068,5.798181533813477,0.11484067142009735,0.004999999888241291,0.2810441851615906
18,5.922064304351807,5.791199684143066,0.1182716116309166,0.00570000009611249,0.2861475944519043
19,5.913313388824463,5.788125514984131,0.11393074691295624,0.004399999976158142,0.2794240117073059
20,5.918248653411865,5.781781196594238,0.1182810515165329,0.005499999970197678,0.28491508960723877
21,5.912088871002197,5.77915096282959,0.11557956039905548,0.006800000090152025,0.2814435064792633
22,5.911547660827637,5.777105331420898,0.11831474304199219,0.005400000140070915,0.28634947538375854
23,5.898990631103516,5.767852783203125,0.11705748736858368,0.00570000009611249,0.2847996652126312
24,5.895518779754639,5.768933296203613,0.11690004169940948,0.006599999964237213,0.2846204936504364
25,5.901463985443115,5.768334865570068,0.117387555539608,0.004600000102072954,0.2834828495979309
26,5.885051727294922,5.755714416503906,0.11467393487691879,0.005799999926239252,0.28108105063438416
27,5.892549991607666,5.756768226623535,0.11902330815792084,0.0052999998442828655,0.2861689627170563
28,5.879579067230225,5.746040344238281,0.11633260548114777,0.006000000052154064,0.28292223811149597
29,5.8846893310546875,5.751505374908447,0.11574278026819229,0.005200000014156103,0.28281348943710327
30,5.88624906539917,5.751631736755371,0.11557577550411224,0.003800000064074993,0.2833347022533417
31,5.877710819244385,5.745383262634277,0.11575517803430557,0.004600000102072954,0.2812870144844055
32,5.882043838500977,5.744336128234863,0.11554703861474991,0.004600000102072954,0.2827427089214325
33,5.858274936676025,5.726048946380615,0.11530651897192001,0.006300000008195639,0.28192996978759766
34,5.880510330200195,5.7438178062438965,0.11706481128931046,0.004000000189989805,0.2851121127605438
