epoch,loss,policy_loss,value_loss,policy_categorical_accuracy,value_mae
1,6.048660755157471,5.888587951660156,0.12117820978164673,0.004399999976158142,0.29511401057243347
2,6.0355024337768555,5.887615203857422,0.11963880062103271,0.0034000000450760126,0.29063645005226135
3,6.028375148773193,5.886778831481934,0.12081445753574371,0.003000000026077032,0.2931959331035614
4,6.022573471069336,5.886100769042969,0.1205083578824997,0.002400000113993883,0.2935130298137665
5,6.015606880187988,5.8835859298706055,0.11842511594295502,0.0031999999191612005,0.2914475202560425
6,6.01209831237793,5.884211540222168,0.11810632795095444,0.003100000089034438,0.28856751322746277
7,6.011282920837402,5.883594036102295,0.12012618780136108,0.002199999988079071,0.292720764875412
8,6.008164882659912,5.880831718444824,0.11991437524557114,0.003000000026077032,0.29150262475013733
9,6.00704288482666,5.882187843322754,0.11967475712299347,0.002899999963119626,0.2902647852897644
10,6.006072044372559,5.882883071899414,0.11893937736749649,0.0031999999191612005,0.29060736298561096
11,6.006780624389648,5.880695343017578,0.12105987221002579,0.003100000089034438,0.2941020131111145
12,6.005132675170898,5.880646705627441,0.11972631514072418,0.003000000026077032,0.29257041215896606
13,6.0035600662231445,5.880643367767334,0.11933284997940063,0.0027000000700354576,0.2902172803878784
14,6.001090049743652,5.880311489105225,0.11733092367649078,0.002899999963119626,0.28883665800094604
15,6.003438472747803,5.878730773925781,0.12041660398244858,0.004100000020116568,0.2924833595752716
16,6.001226902008057,5.880086421966553,0.1184760332107544,0.0027000000700354576,0.28922876715660095
17,5.999847888946533,5.879305362701416,0.11807401478290558,0.0031999999191612005,0.28908973932266235
18,6.004183769226074,5.879981994628906,0.12150397151708603,0.0031999999191612005,0.2943231463432312
19,5.998684406280518,5.87897253036499,0.11736313253641129,0.0032999999821186066,0.28762319684028625
20,6.00337028503418,5.879729270935059,0.12108113616704941,0.003000000026077032,0.2932034134864807
21,6.001478672027588,5.880395412445068,0.11924467235803604,0.0031999999191612005,0.29062438011169434
22,6.004627227783203,5.8831377029418945,0.12069554626941681,0.0020000000949949026,0.2926267981529236
23,6.002367973327637,5.879583835601807,0.11996622383594513,0.0026000000070780516,0.29184630513191223
24,6.002896785736084,5.882943153381348,0.12035472691059113,0.003000000026077032,0.29257526993751526
25,6.002391338348389,5.883732318878174,0.1199837476015091,0.004100000020116568,0.2902226150035858
26,5.999821662902832,5.879582405090332,0.11781957000494003,0.003100000089034438,0.2888698875904083
27,6.004136562347412,5.881076812744141,0.1218353733420372,0.004600000102072954,0.29395341873168945
28,5.999510765075684,5.880191802978516,0.11894198507070541,0.00279999990016222,0.29013046622276306
29,5.998505115509033,5.877427101135254,0.11877752840518951,0.003800000064074993,0.2899116575717926
30,6.000256061553955,5.878709316253662,0.11871261894702911,0.003800000064074993,0.29114168882369995
31,6.000652313232422,5.880904674530029,0.1187530905008316,0.003800000064074993,0.2899555265903473
32,5.999885082244873,5.879897594451904,0.11829078197479248,0.0031999999191612005,0.2896532714366913
33,6.001909255981445,5.882232666015625,0.1178307980298996,0.003100000089034438,0.28932759165763855
34,6.002491474151611,5.88132381439209,0.11976482719182968,0.003599999938160181,0.29148179292678833
35,5.999863147735596,5.880146026611328,0.11768774688243866,0.0032999999821186066,0.28889742493629456
36,6.000039100646973,5.877962589263916,0.12043783813714981,0.0031999999191612005,0.2929227948188782
37,6.000171184539795,5.879314422607422,0.12069418281316757,0.002899999963119626,0.29262906312942505
38,6.0024566650390625,5.8800764083862305,0.12085547298192978,0.003599999938160181,0.2934410572052002
39,6.000748634338379,5.878915786743164,0.11920330673456192,0.002400000113993883,0.2904452681541443
40,5.999532699584961,5.880936145782471,0.11710000038146973,0.003000000026077032,0.2870886027812958
41,6.000407695770264,5.879305362701416,0.11971809715032578,0.0034000000450760126,0.29001039266586304
42,6.002721309661865,5.879389762878418,0.12101982533931732,0.0031999999191612005,0.2944101095199585
43,5.999660968780518,5.879449367523193,0.11946475505828857,0.003599999938160181,0.2903389632701874
44,5.9989705085754395,5.876800537109375,0.11883072555065155,0.0031999999191612005,0.29046431183815
45,6.00220251083374,5.881650447845459,0.11882040649652481,0.0031999999191612005,0.29008767008781433
46,6.00237512588501,5.881588459014893,0.11966568231582642,0.003599999938160181,0.2909534275531769
47,6.0032124519348145,5.880175590515137,0.12096209824085236,0.00279999990016222,0.2940674126148224
48,6.001489639282227,5.879578590393066,0.12117336690425873,0.0019000000320374966,0.29376307129859924
49,5.999743938446045,5.8770976066589355,0.1199435219168663,0.0032999999821186066,0.29350459575653076
50,6.003233432769775,5.8818359375,0.11981222778558731,0.0027000000700354576,0.2926463484764099
51,6.001818656921387,5.879382133483887,0.12219343334436417,0.0024999999441206455,0.29513832926750183
52,5.999776363372803,5.880743503570557,0.11676447093486786,0.0026000000070780516,0.28735777735710144
53,6.000538349151611,5.879826545715332,0.11916818469762802,0.0027000000700354576,0.29084110260009766
54,6.00277042388916,5.882500648498535,0.11887210607528687,0.003000000026077032,0.29030492901802063
55,6.000545978546143,5.880658149719238,0.11911328136920929,0.003000000026077032,0.2912144958972931
56,6.003213405609131,5.882669925689697,0.11994266510009766,0.002300000051036477,0.2922515869140625
57,6.0026068687438965,5.879653453826904,0.12136802822351456,0.0031999999191612005,0.2947244346141815
58,6.001912593841553,5.882410526275635,0.12064333260059357,0.00279999990016222,0.29210200905799866
59,6.001074314117432,5.880017280578613,0.1192733645439148,0.003599999938160181,0.2926565706729889
60,6.001068115234375,5.881394863128662,0.12079403549432755,0.0032999999821186066,0.29183709621429443
61,5.999629974365234,5.878544330596924,0.11943481117486954,0.0026000000070780516,0.29299941658973694
62,6.0005974769592285,5.8799943923950195,0.11861258745193481,0.0034000000450760126,0.29170313477516174
